# Synthetic GEMM shape fixture -- independently generated, contains no customer data.
# Generated by scripts/sanitizers/gen_gemm_fixture.py --seed 20260805 --rows 48 (deterministic).
rank,count,first_call_idx,transA,transB,M,N,K,batch_count,a_type,b_type,c_type,d_type,compute_type,bias_type,alpha,beta,activation_type,epilogue,n_solutions_used,top_solution_idx,top_solution_count
1,479,990,N,T,256,4096,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,126578,479
2,471,1830,N,T,128,4096,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,175415,471
3,440,610,T,T,64,64,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,137678,440
4,431,3800,T,N,256,4096,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,112392,431
5,423,3373,N,N,1024,4096,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,166997,423
6,423,3138,T,T,64,4096,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,128816,423
7,418,2023,N,N,256,512,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,191475,418
8,397,2916,N,N,2048,512,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,134058,397
9,386,2055,N,N,256,512,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,119299,386
10,382,2489,T,N,2048,64,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,115669,382
11,371,1581,T,N,64,64,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,178149,371
12,369,1728,N,T,512,1024,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,162308,369
13,364,957,N,T,1280,2048,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,174290,364
14,343,3739,T,T,4096,2048,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,188156,343
15,341,2015,N,N,64,2048,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,123030,341
16,336,1605,T,N,128,128,512,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,193446,336
