# Synthetic generic GEMM shape fixture (scrubbed; no customer attribution)
rank,count,first_call_idx,transA,transB,M,N,K,batch_count,a_type,b_type,c_type,d_type,compute_type,bias_type,alpha,beta,activation_type,epilogue,n_solutions_used,top_solution_idx,top_solution_count
1,406,296,N,T,128,128,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,406
2,400,289,N,N,128,128,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,400
3,320,1800,N,N,128,1,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375583,320
4,310,301,N,N,1280,1280,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375412,310
5,248,1812,N,N,1280,1,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375583,248
6,186,1398,N,T,1280,1280,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374772,186
7,155,4,T,N,1280,1024,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376925,155
8,155,187,N,T,128,1280,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374817,155
9,155,188,N,N,128,1024,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375594,155
10,155,297,T,N,1280,1280,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376932,155
11,155,298,N,T,128,128,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,155
12,154,570,N,T,4096,4096,4096,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374690,154
13,124,1808,N,T,1280,128,1280,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374818,124
14,124,1809,N,T,128,1280,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374805,124
15,90,9,T,N,128,1024,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,376957,90
16,90,195,N,T,64,128,1024,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374839,90
17,90,319,T,N,128,128,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,377023,90
18,90,320,N,T,64,64,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,90
19,76,1830,N,T,128,64,128,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374829,76
20,76,1831,N,T,64,128,64,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374824,76
21,75,543,N,N,256,256,1,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375437,75
22,60,2054,N,N,256,1,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,375583,60
23,54,1644,N,T,256,256,256,1,f32_r,f32_r,f32_r,f32_r,f32_r,f32_r,1.0,0.0,none,,1,374834,54
